timestamp,experiment_name,mode,chunk_id,character,gen_step,final_prompt,negative_prompt,output_file,latency_s,num_inference_steps
2025-10-20T18:12:55.752889,nathan_utt_raw,utterance,001,Nathan,u0_of_2,A first person point-of-view image of a visitor services area of a zoo. There is also a first-aid station. Every object is created using only dotted outlines. Have big spaces between each dot. Main focus in the image is on the visitor services area and the first aid station next to it. So make only their outlines solid and nothing else. Do not color anything unless specified for an object. Do not add any additional detail. Keep the image simple.,"text, low quality",nathan_utt_raw_u0_of_2.png,60.49,30
2025-10-20T18:13:55.918922,nathan_utt_raw,utterance,001,Nathan,u1_of_2,Add a map board directly on a brick wall. Make its outline solid.,"text, low quality",nathan_utt_raw_u1_of_2.png,60.14,30
2025-10-20T18:14:56.130334,nathan_utt_raw,utterance,001,Nathan,u2_of_2,DONOTHING,"text, low quality",nathan_utt_raw_u2_of_2.png,60.21,30
